,Activity,Product,Resource,Request moment,Start,Finish
0,33_1,33,Harvesting tanks A,27,27,67
1,8_1,8,Harvesting tanks A,0,0,81
2,8_12,8,Harvesting tanks A,0,0,81
3,20_0,20,Fermenter_1,0,0,93
4,33_2,33,Harvesting tanks A,27,27,95
5,32_1,32,Harvesting tanks A,27,67,107
6,27_0,27,Fermenter_2,0,0,112
7,13_0,13,Fermenter_4,0,0,119
8,30_1,30,Harvesting tanks A,27,81,121
9,35_2,35,Filters A,81,81,133
10,4_2,4,Filters A,81,81,133
11,2_2,2,Filters A,81,81,133
12,5_1,5,Harvesting tanks A,30,107,135
13,33_3,33,Harvesting tanks B,27,27,140
14,32_3,32,Harvesting tanks B,27,27,140
15,30_3,30,Harvesting tanks B,27,27,140
16,35_4,35,Buffer tanks,81,81,145
17,4_4,4,Buffer tanks,81,81,145
18,2_4,2,Buffer tanks,81,81,145
19,3_4,3,Buffer tanks,81,81,145
20,16_1,16,Harvesting tanks B,41,41,147
21,16_3,16,Filters B,95,95,147
22,32_2,32,Harvesting tanks A,27,81,149
23,37_2,37,Filters A,82,133,151
24,5_3,5,Harvesting tanks B,30,30,158
25,11_3,11,Harvesting tanks B,30,30,158
26,23_0,23,Fermenter_3,0,0,159
27,8_4,8,Filters A,90,133,161
28,22_0,22,Fermenter_5,0,0,162
29,30_2,30,Harvesting tanks A,27,95,163
30,11_1,11,Harvesting tanks A,30,135,163
31,37_4,37,Buffer tanks,82,145,167
32,35_7,35,Microfilter,82,82,175
33,4_7,4,Microfilter,82,82,175
34,2_7,2,Microfilter,82,82,175
35,3_7,3,Microfilter,82,82,175
36,3_2,3,Filters A,81,133,185
37,8_5,8,Filters A,90,151,188
38,8_15,8,Filters A,90,161,189
39,5_2,5,Harvesting tanks A,30,121,193
40,8_6,8,Buffer tanks,90,145,193
41,8_17,8,Buffer tanks,90,145,193
42,37_3,37,Microfilter,84,175,195
43,8_8,8,Buffer tanks,90,145,199
44,10_3,10,Filters B,95,147,199
45,37_7,37,Stabilization tanks,104,104,201
46,35_1,35,Harvesting tanks B,45,147,203
47,37_6,37,Buffer tanks,92,193,213
48,28_0,28,Fermenter_2,0,112,214
49,14_9,14,Stabilization tanks,116,116,214
50,4_1,4,Harvesting tanks B,45,158,214
51,14_2,14,Filters B,97,199,214
52,33_0,33,Fermenter_1,0,93,216
53,16_2,16,Harvesting tanks A,41,163,217
54,10_2,10,Harvesting tanks A,41,163,217
55,36_2,36,Filters A,92,188,217
56,1_1,1,Harvesting tanks A,42,193,217
57,11_2,11,Harvesting tanks A,30,149,221
58,8_19,8,Buffer tanks,90,167,221
59,8_16,8,Filters A,90,185,222
60,8_7,8,Microfilter,90,175,229
61,8_9,8,Microfilter,90,175,229
62,8_18,8,Microfilter,90,175,229
63,35_0,35,Fermenter_4,0,119,236
64,12_1,12,Harvesting tanks A,42,217,241
65,10_1,10,Harvesting tanks B,41,140,246
66,35_5,35,Harvesting tanks B,45,158,246
67,36_4,36,Buffer tanks,92,193,246
68,8_20,8,Microfilter,90,195,249
69,37_5,37,Microfilter,92,229,249
70,16_11,16,Stabilization tanks,114,114,250
71,10_11,10,Stabilization tanks,114,114,250
72,26_13,26,Stabilization tanks,129,129,254
73,38_13,38,Stabilization tanks,129,129,254
74,17_4,17,Buffer tanks,92,199,254
75,27_2,27,Filters A,94,217,258
76,35_12,35,Stabilization tanks,114,114,268
77,4_12,4,Stabilization tanks,114,114,268
78,2_12,2,Stabilization tanks,114,114,268
79,3_12,3,Stabilization tanks,114,114,268
80,23_3,23,Filters A,114,222,268
81,17_15,17,Stabilization tanks,123,123,270
82,17_2,17,Filters A,92,189,270
