,Activity,Product,Resource,Request moment,Start,Finish
153,18_11,18,Buffer tanks,119,384,442
154,17_10,17,Buffer tanks,129,408,443
155,8_0,8,Fermenter_3,0,300,465
156,5_9,5,Microfilter,121,383,467
157,17_11,17,Microfilter,129,432,468
158,5_10,5,Buffer tanks,121,400,471
159,19_10,19,Buffer tanks,121,404,475
160,5_12,5,Microfilter,131,438,475
161,19_9,19,Microfilter,121,393,477
162,17_12,17,Buffer tanks,129,442,478
163,4_0,4,Fermenter_1,0,348,492
164,9_5,9,Microfilter,132,468,497
165,8_2,8,Filters B,150,401,499
166,9_7,9,Microfilter,145,475,502
167,19_12,19,Microfilter,131,467,504
168,9_6,9,Buffer tanks,132,475,504
169,9_8,9,Buffer tanks,145,478,505
170,5_11,5,Buffer tanks,131,443,517
171,0_3,0,Microfilter,147,477,519
172,4_3,4,Microfilter,149,497,540
173,19_11,19,Buffer tanks,131,471,545
174,0_4,0,Buffer tanks,147,504,546
175,2_3,2,Microfilter,151,519,547
176,15_0,15,Fermenter_4,0,381,548
177,4_4,4,Buffer tanks,147,505,550
178,15_10,15,Microfilter,149,502,563
179,2_4,2,Buffer tanks,151,546,574
180,15_11,15,Buffer tanks,148,517,579
181,12_0,12,Fermenter_2,0,428,599
182,18_0,18,Fermenter_3,0,465,600
183,4_5,4,Microfilter,163,563,606
184,15_12,15,Microfilter,159,547,608
185,4_6,4,Buffer tanks,163,579,622
186,8_3,8,Microfilter,150,504,628
187,15_13,15,Buffer tanks,158,574,636
188,14_6,14,Buffer tanks,156,550,637
189,14_7,14,Microfilter,158,540,652
190,2_5,2,Microfilter,166,628,656
191,2_6,2,Buffer tanks,166,636,664
192,15_1,15,Microfilter,164,606,666
193,15_14,15,Microfilter,164,608,668
194,8_4,8,Buffer tanks,150,545,669
195,16_0,16,Fermenter_2,0,599,681
196,12_4,12,Buffer tanks,172,637,681
197,7_7,7,Microfilter,177,656,689
198,12_3,12,Microfilter,172,652,696
199,7_9,7,Microfilter,181,666,699
200,12_5,12,Microfilter,190,668,712
201,15_2,15,Buffer tanks,174,664,714
202,7_8,7,Buffer tanks,176,681,714
203,15_15,15,Buffer tanks,174,669,719
204,15_9,15,Buffer tanks,164,622,726
205,14_12,14,Microfilter,202,689,731
206,7_10,7,Buffer tanks,180,714,747
207,15_16,15,Microfilter,209,696,756
208,14_11,14,Buffer tanks,192,726,762
209,12_6,12,Buffer tanks,190,719,763
210,14_8,14,Buffer tanks,189,714,795
