,node_idx,weight,description
0,97,90,9_0_finish
1,125,31,9_2_finish
2,118,111,8_0_finish
3,56,43,9_4_finish
4,132,14,9_1_finish
5,22,81,8_4_finish
6,46,25,8_10_finish
7,99,106,1_0_finish
8,38,73,0_0_finish
9,12,130,1_7_finish
10,94,146,3_0_finish
11,106,12,3_1_finish
12,168,23,3_2_finish
13,159,168,7_0_finish
14,14,42,7_7_finish
15,149,42,7_10_finish
16,24,38,7_8_finish
17,164,76,7_2_finish
18,20,38,8_8_finish
19,128,92,7_12_finish
20,192,62,6_1_finish
21,178,154,6_0_finish
22,177,23,6_2_finish
23,123,129,7_15_finish
24,15,129,7_4_finish
25,189,69,5_0_finish
26,52,96,3_5_finish
27,70,115,6_11_finish
28,145,30,0_4_finish
29,92,29,5_1_finish
30,1,145,2_0_finish
31,64,38,7_1_finish
32,122,54,7_11_finish
33,42,50,5_3_finish
34,182,50,5_4_finish
35,23,55,2_2_finish
36,179,69,5_2_finish
37,13,33,7_6_finish
38,150,85,9_5_finish
39,71,85,5_5_finish
40,66,22,7_3_finish
41,41,31,0_2_finish
42,133,27,8_1_finish
43,104,41,7_14_finish
44,62,39,2_5_finish
45,161,41,2_4_finish
46,162,41,2_6_finish
47,126,38,9_3_finish
48,9,30,2_1_finish
49,105,52,7_13_finish
50,54,59,1_3_finish
51,67,89,6_3_finish
52,3,22,8_6_finish
53,33,22,8_5_finish
54,79,58,4_1_finish
55,50,65,7_9_finish
56,18,33,7_5_finish
57,146,30,8_2_finish
58,127,53,1_1_finish
59,32,78,8_9_finish
60,36,32,8_3_finish
61,121,52,8_12_finish
62,108,98,2_7_finish
63,130,62,8_11_finish
64,7,112,4_2_finish
65,171,169,4_0_finish
66,170,122,4_4_finish
67,136,124,8_13_finish
68,74,19,4_5_finish
69,39,21,0_1_finish
70,135,29,0_5_finish
71,175,29,6_4_finish
72,57,49,2_3_finish
73,4,18,4_3_finish
74,59,51,1_5_finish
75,69,34,6_7_finish
76,47,32,4_7_finish
77,89,32,4_9_finish
78,147,40,3_4_finish
79,111,70,6_8_finish
80,30,25,8_7_finish
81,129,50,1_2_finish
82,21,50,1_6_finish
83,98,37,6_9_finish
84,156,35,6_6_finish
85,186,31,4_8_finish
86,60,38,3_3_finish
87,131,100,0_7_finish
88,120,28,0_6_finish
89,91,100,4_11_finish
90,190,31,4_10_finish
91,109,36,6_10_finish
92,40,33,0_3_finish
93,143,131,1_4_finish
94,43,24,6_5_finish
95,183,40,4_6_finish
